taskType,taskId,init,gpsTagId,notificationType,notificationTs,reminderCount,notficationAcceptTs,acceptanceTime,taskAcceptTs,taskAcceptTime,taskComp,taskCompTs,taskCompTime,responseTime,receptRating 
photo,1,user,0,null,,0,,0,1281436163981,0,0,,0,0,0
annotate,2,user,0,null,,0,,0,1281436245969,0,1,1281436387407,141,0,0
photo_story,3,user,0,null,,0,,0,1281436283821,0,0,,0,0,0
newImages,4,sys,0,null,1281436393429,0,1281436468929,75,,0,0,,0,0,0
photo_story,3,user,0,null,,0,,0,1281436428902,0,0,,0,0,0
newImages,4,sys,0,null,1281436563971,0,,,,0,0,,0,0,0
photo opportunity,1,sys,14,null,1281437282259,0,1281437313912,31,1281437320805,6,0,,0,0,0
photo opportunity,1,sys,15,null,1281437378212,0,1281437456043,77,1281437458300,2,0,,0,0,0
newImages,4,sys,0,null,1281437465293,0,1281437498134,32,,0,0,,0,0,0
newImages,4,sys,0,null,1281437524059,0,,0,,0,0,,0,0,0
photo_story,3,user,0,null,,0,,0,1281437602020,0,0,,0,0,0
newImages,4,sys,0,null,1281437649171,0,,0,,0,0,,0,0,0
newImages,4,sys,0,null,1281437704153,0,,0,,0,0,,0,0,0
newImages,4,sys,0,null,1281438003837,0,,0,,0,0,,0,0,0
photo,1,user,0,null,,0,,0,1281438328126,0,0,,0,0,0
newImages,4,sys,0,null,1281439023856,0,,0,,0,0,,0,0,0
photo,1,user,0,null,,0,,0,1281439177697,0,0,,0,0,0
photo_story,3,user,0,null,,0,,0,1281439216686,0,0,,0,0,0
photo_story,3,user,0,null,,0,,0,1281439236960,0,0,,0,0,0
photo_story,3,user,0,null,,0,,0,1281439254539,0,0,,0,0,0
newImages,4,sys,0,null,1281439273177,0,,0,,0,0,,0,0,0
photo,1,user,0,null,,0,,0,1281439376314,0,0,,0,0,0
newImages,4,sys,0,null,1281439383066,0,,0,,0,0,,0,0,0
annotate,2,user,0,null,,0,,0,1281439460058,0,1,1281439522970,62,0,0
newImages,4,sys,0,null,1281439504653,0,,0,,0,0,,0,0,0
newImages,4,sys,0,null,1281439743172,0,,0,,0,0,,0,0,0
photo opportunity,1,sys,59,null,1281439897104,0,1281439988236,91,1281439990552,2,1,1281440015654,25,118,4
photo,1,user,0,null,,0,,0,1281439917141,0,0,,0,0,0
newImages,4,sys,0,null,1281440042304,0,,0,,0,0,,0,0,0
annotate,2,user,0,null,,0,,0,1281440053908,0,1,1281440098784,44,0,0
newImages,4,sys,0,null,1281440106990,0,,0,,0,0,,0,0,0
newImages,4,sys,0,null,1281440107735,0,,0,,0,0,,0,0,0
newImages,4,sys,0,null,1281440166393,0,1281441315922,1149,,0,0,,0,0,0
Q-Zone,2,sys,22,null,1281440396197,2,1281440464675,68,1281440468979,4,1,1281440542432,73,146,4
photo,1,user,0,null,,0,,0,1281440942176,0,0,,0,0,0
photo,1,user,0,null,,0,,0,1281441035751,0,0,,0,0,0
photo,1,user,0,null,,0,,0,1281441646504,0,0,,0,0,0
photo,1,user,0,null,,0,,0,1281442443301,0,0,,0,0,0
photo,1,user,0,null,,0,,0,1281442579659,0,0,,0,0,0
photo opportunity,1,sys,23,null,1281445624633,0,1281446063969,439,1281446067773,3,1,1281446120423,52,495,3
Q-Zone,2,sys,58,null,1281445963204,80,,0,,0,0,,0,0,0
