taskType,taskId,init,gpsTagId,notificationType,notificationTs,reminderCount,notficationAcceptTs,acceptanceTime,taskAcceptTs,taskAcceptTime,taskComp,taskCompTs,taskCompTime,responseTime,receptRating 
photo,1,user,0,null,0,0,0,0,1281436207379,1281436207,0,0,-1281436207,0,0
annotate,2,user,0,null,0,0,0,0,1281436311711,1281436311,0,0,-1281436311,0,0
photo opportunity,1,sys,14,null,1281437336559,0,1281437369999,33,0,-1281437369,0,0,0,-1281437336,0
photo opportunity,1,sys,15,null,1281437422580,0,1281440491397,3068,0,-1281440491,0,0,0,-1281437422,0
photo,1,user,0,null,0,0,0,0,1281438670743,1281438670,0,0,-1281438670,0,0
annotate,2,user,0,null,0,0,0,0,1281439124948,1281439124,0,0,-1281439124,0,0
annotate,2,user,0,null,0,0,0,0,1281439217208,1281439217,0,0,-1281439217,0,0
annotate,2,user,0,null,0,0,0,0,1281439217948,1281439217,0,0,-1281439217,0,0
photo,1,user,0,null,0,0,0,0,1281439232973,1281439232,0,0,-1281439232,0,0
annotate,2,user,0,null,0,0,0,0,1281439247249,1281439247,0,0,-1281439247,0,0
photo,1,user,0,null,0,0,0,0,1281439252240,1281439252,0,0,-1281439252,0,0
photo,1,user,0,null,0,0,0,0,1281439254689,1281439254,0,0,-1281439254,0,0
annotate,2,user,0,null,0,0,0,0,1281439276835,1281439276,0,0,-1281439276,0,0
annotate,2,user,0,null,0,0,0,0,1281439333722,1281439333,0,0,-1281439333,0,0
annotate,2,user,0,null,0,0,0,0,1281439485803,1281439485,0,1281439592687,106,1281439592,0
annotate,2,user,0,null,0,0,0,0,1281439607613,1281439607,0,0,-1281439607,0,0
Q-Zone,2,sys,22,null,1281440878569,8,1281441140869,262,1281441144587,3,0,1281441182488,37,303,4
annotate,2,user,0,null,0,0,0,0,1281442790911,1281442790,0,0,-1281442790,0,0
photo_story,3,user,0,null,0,0,0,0,1281444473843,1281444473,0,0,-1281444473,0,0
annotate,2,user,0,null,0,0,0,0,1281444481590,1281444481,0,0,-1281444481,0,0
annotate,2,user,0,null,0,0,0,0,1281444519515,1281444519,0,0,-1281444519,0,0
photo,1,user,0,null,0,0,0,0,1281446739507,1281446739,0,0,-1281446739,0,0
Q-Zone,2,sys,58,null,1281446864422,19,1281447452518,588,1281447454356,1,0,1281447480278,25,615,4
photo,1,user,0,null,0,0,0,0,1281447503704,1281447503,0,0,-1281447503,0,0
photo,1,user,0,null,0,0,0,0,1281447711898,1281447711,0,0,-1281447711,0,0
annotate,2,user,0,null,0,0,0,0,1281447846269,1281447846,0,0,-1281447846,0,0
annotate,2,user,0,null,0,0,0,0,1281447846975,1281447846,0,0,-1281447846,0,0
annotate,2,user,0,null,0,0,0,0,1281447933632,1281447933,0,0,-1281447933,0,0
annotate,2,user,0,null,0,0,0,0,1281448109486,1281448109,0,0,-1281448109,0,0
annotate,2,user,0,null,0,0,0,0,1281448196839,1281448196,0,0,-1281448196,0,0
annotate,2,user,0,null,0,0,0,0,1281448345689,1281448345,0,0,-1281448345,0,0
photo,1,user,0,null,0,0,0,0,1281449346775,1281449346,0,0,-1281449346,0,0
photo_story,3,user,0,null,0,0,0,0,1281449367947,1281449367,0,0,-1281449367,0,0
photo,1,user,0,null,0,0,0,0,1281449375599,1281449375,0,0,-1281449375,0,0
annotate,2,user,0,null,0,0,0,0,1281449378465,1281449378,0,1281449499402,120,1281449499,0
annotate,2,user,0,null,0,0,0,0,1281449509627,1281449509,0,0,-1281449509,0,0
photo opportunity,1,sys,55,null,1281450323469,0,0,-1281450323,0,0,0,0,0,-1281450323,0
photo opportunity,1,sys,55,null,1281450464941,0,1281450470554,5,1281450474585,4,0,1281450541564,66,76,4
Q-Zone,2,sys,56,null,1281450478974,72,1281454649787,4170,1281454657867,8,0,0,-1281454657,-1281450478,0
newImages,4,sys,0,null,1281450717304,0,0,-1281450717,0,0,0,0,0,-1281450717,0
newImages,4,sys,0,null,1281450735440,0,0,-1281450735,0,0,0,0,0,-1281450735,0
newImages,4,sys,0,null,1281450766785,0,0,-1281450766,0,0,0,0,0,-1281450766,0
photo,1,user,0,null,0,0,0,0,1281450927651,1281450927,0,0,-1281450927,0,0
photo,1,user,0,null,0,0,0,0,1281450945647,1281450945,0,0,-1281450945,0,0
annotate,2,user,0,null,0,0,0,0,1281450971261,1281450971,0,0,-1281450971,0,0
photo,1,user,0,null,0,0,0,0,1281450986260,1281450986,0,0,-1281450986,0,0
photo,1,user,0,null,0,0,0,0,1281451015037,1281451015,0,0,-1281451015,0,0
photo,1,user,0,null,0,0,0,0,1281451068831,1281451068,0,0,-1281451068,0,0
photo,1,user,0,null,0,0,0,0,1281451090333,1281451090,0,0,-1281451090,0,0
photo,1,user,0,null,0,0,0,0,1281451123280,1281451123,0,0,-1281451123,0,0
annotate,2,user,0,null,0,0,0,0,1281451207858,1281451207,0,0,-1281451207,0,0
photo,1,user,0,null,0,0,0,0,1281451212573,1281451212,0,0,-1281451212,0,0
annotate,2,user,0,null,0,0,0,0,1281451231719,1281451231,0,0,-1281451231,0,0
annotate,2,user,0,null,0,0,0,0,1281451232332,1281451232,0,0,-1281451232,0,0
newImages,4,sys,0,null,1281451475845,0,0,-1281451475,0,0,0,0,0,-1281451475,0
newImages,4,sys,0,null,1281451592736,0,0,-1281451592,0,0,0,0,0,-1281451592,0
newImages,4,sys,0,null,1281451650891,0,0,-1281451650,0,0,0,0,0,-1281451650,0
newImages,4,sys,0,null,1281451890942,0,0,-1281451890,0,0,0,0,0,-1281451890,0
end of ride,1,sys,39,null,1281451950444,0,1281454347097,2396,0,-1281454347,0,0,0,-1281451950,0
newImages,4,sys,0,null,1281452011003,0,0,-1281452011,0,0,0,0,0,-1281452011,0
newImages,4,sys,0,null,1281452088394,0,0,-1281452088,0,0,0,0,0,-1281452088,0
annotate,2,user,0,null,0,0,0,0,1281452401669,1281452401,0,1281453400009,998,1281453400,0
photo,1,user,0,null,0,0,0,0,1281452459327,1281452459,0,0,-1281452459,0,0
photo,1,user,0,null,0,0,0,0,1281452529031,1281452529,0,0,-1281452529,0,0
photo_story,3,user,0,null,0,0,0,0,1281452545007,1281452545,0,0,-1281452545,0,0
newImages,4,sys,0,null,1281453407404,0,1281454004454,597,0,-1281454004,0,0,0,-1281453407,0
photo_story,3,user,0,null,0,0,0,0,1281454015158,1281454015,0,0,-1281454015,0,0
annotate,2,user,0,null,0,0,0,0,1281454019566,1281454019,0,0,-1281454019,0,0
photo,1,user,0,null,0,0,0,0,1281454028312,1281454028,0,0,-1281454028,0,0
annotate,2,user,0,null,0,0,0,0,1281454062458,1281454062,0,0,-1281454062,0,0
annotate,2,user,0,null,0,0,0,0,1281454089829,1281454089,0,0,-1281454089,0,0
annotate,2,user,0,null,0,0,0,0,1281454356354,1281454356,0,0,-1281454356,0,0
photo,1,user,0,null,0,0,0,0,1281454363713,1281454363,0,0,-1281454363,0,0
annotate,2,user,0,null,0,0,0,0,1281454367895,1281454367,0,1281454478086,110,1281454478,0
newImages,4,sys,0,null,1281454483401,0,1281454488690,5,0,-1281454488,0,0,0,-1281454483,0
annotate,2,user,0,null,0,0,0,0,1281454508544,1281454508,0,0,-1281454508,0,0
annotate,2,user,0,null,0,0,0,0,1281454694772,1281454694,0,0,-1281454694,0,0
photo_story,3,user,0,null,0,0,0,0,1281454702285,1281454702,0,0,-1281454702,0,0
newImages,4,sys,0,null,1281507394977,0,1281507400540,5,0,-1281507400,0,0,0,-1281507394,0
photo,1,user,0,null,0,0,0,0,1281518913897,1281518913,0,0,-1281518913,0,0
annotate,2,user,0,null,0,0,0,0,1281518942105,1281518942,0,1281519130393,188,1281519130,0
annotate,2,user,0,null,0,0,0,0,1281519142082,1281519142,0,0,-1281519142,0,0
newImages,4,sys,0,null,1281519151097,0,0,-1281519151,0,0,0,0,0,-1281519151,0
newImages,4,sys,0,null,1281519203297,0,1281519275067,71,0,-1281519275,0,0,0,-1281519203,0
photo_story,3,user,0,null,0,0,0,0,1281519218145,1281519218,0,0,-1281519218,0,0
annotate,2,user,0,null,0,0,0,0,1281519224125,1281519224,0,0,-1281519224,0,0
annotate,2,user,0,null,0,0,0,0,1281519311777,1281519311,0,0,-1281519311,0,0
lunch/break,3,sys,49,null,1281519846248,0,1281520559230,712,1281520562380,3,0,0,-1281520562,-1281519846,0
photo opportunity,1,sys,1,null,1281520755708,0,1281520817773,62,1281520977340,159,0,1281521138113,160,382,3
newImages,4,sys,0,null,1281520828744,0,0,-1281520828,0,0,0,0,0,-1281520828,0
Q-Zone,2,sys,3,null,1281520871466,146,1281525286178,4414,1281525288749,2,0,1281525933688,644,5062,3
newImages,4,sys,0,null,1281520886530,0,0,-1281520886,0,0,0,0,0,-1281520886,0
newImages,4,sys,0,null,1281520939838,0,1281520942659,2,0,-1281520942,0,0,0,-1281520939,0
photo opportunity,1,sys,47,null,1281520940440,0,1281521273613,333,1281521279876,6,0,1281521294399,14,353,2
newImages,4,sys,0,null,1281520999766,0,0,-1281520999,0,0,0,0,0,-1281520999,0
newImages,4,sys,0,null,1281521123040,0,1281521168338,45,0,-1281521168,0,0,0,-1281521123,0
photo,1,user,0,null,0,0,0,0,1281521162222,1281521162,0,0,-1281521162,0,0
newImages,4,sys,0,null,1281521178984,0,1281521209650,30,0,-1281521209,0,0,0,-1281521178,0
annotate,2,user,0,null,0,0,0,0,1281521222963,1281521222,0,0,-1281521222,0,0
newImages,4,sys,0,null,1281521238782,0,1281521242563,3,0,-1281521242,0,0,0,-1281521238,0
newImages,4,sys,0,null,1281521301198,0,0,-1281521301,0,0,0,0,0,-1281521301,0
newImages,4,sys,0,null,1281521301664,0,0,-1281521301,0,0,0,0,0,-1281521301,0
photo,1,user,0,null,0,0,0,0,1281521323446,1281521323,0,0,-1281521323,0,0
newImages,4,sys,0,null,1281521359860,0,0,-1281521359,0,0,0,0,0,-1281521359,0
photo,1,user,0,null,0,0,0,0,1281521383760,1281521383,0,0,-1281521383,0,0
annotate,2,user,0,null,0,0,0,0,1281521400024,1281521400,0,0,-1281521400,0,0
photo,1,user,0,null,0,0,0,0,1281521422253,1281521422,0,0,-1281521422,0,0
annotate,2,user,0,null,0,0,0,0,1281521425385,1281521425,0,0,-1281521425,0,0
annotate,2,user,0,null,0,0,0,0,1281521524219,1281521524,0,1281521646801,122,1281521646,0
newImages,4,sys,0,null,1281521549065,0,0,-1281521549,0,0,0,0,0,-1281521549,0
newImages,4,sys,0,null,1281521598649,0,0,-1281521598,0,0,0,0,0,-1281521598,0
annotate,2,user,0,null,0,0,0,0,1281521656308,1281521656,0,0,-1281521656,0,0
annotate,2,user,0,null,0,0,0,0,1281521711470,1281521711,0,0,-1281521711,0,0
newImages,4,sys,0,null,1281521718608,0,1281521784507,65,0,-1281521784,0,0,0,-1281521718,0
annotate,2,user,0,null,0,0,0,0,1281521759348,1281521759,0,0,-1281521759,0,0
newImages,4,sys,0,null,1281521838468,0,0,-1281521838,0,0,0,0,0,-1281521838,0
newImages,4,sys,0,null,1281521881650,0,0,-1281521881,0,0,0,0,0,-1281521881,0
newImages,4,sys,0,null,1281521899104,0,1281522506027,606,0,-1281522506,0,0,0,-1281521899,0
photo,1,user,0,null,0,0,0,0,1281522249770,1281522249,0,0,-1281522249,0,0
annotate,2,user,0,null,0,0,0,0,1281522254932,1281522254,0,0,-1281522254,0,0
