taskType,taskId,init,gpsTagId,notificationType,notificationTs,reminderCount,notficationAcceptTs,acceptanceTime,taskAcceptTs,taskAcceptTime,taskComp,taskCompTs,taskCompTime,responseTime,receptRating 
photo,1,user,0,null,0,0,0,0,1282207547136,1282207547,0,0,-1282207547,0,0
photo,1,user,0,null,0,0,0,0,1282207573450,1282207573,0,0,-1282207573,0,0
annotate,2,user,0,null,0,0,0,0,1282207585609,1282207585,0,0,-1282207585,0,0
newImages,4,sys,0,null,1282207597309,0,0,-1282207597,0,0,0,0,0,-1282207597,0
newImages,4,sys,0,null,1282207597407,0,0,-1282207597,0,0,0,0,0,-1282207597,0
annotate,2,user,0,null,0,0,0,0,1282207632609,1282207632,0,1282207720293,87,1282207720,0
newImages,4,sys,0,null,1282207639298,0,0,-1282207639,0,0,0,0,0,-1282207639,0
photo_story,3,user,0,null,0,0,0,0,1282207725540,1282207725,0,0,-1282207725,0,0
newImages,4,sys,0,null,1282207752382,0,1282207778440,26,0,-1282207778,0,0,0,-1282207752,0
newImages,4,sys,0,null,1282207811639,0,1282207819339,7,0,-1282207819,0,0,0,-1282207811,0
annotate,2,user,0,null,0,0,0,0,1282207890192,1282207890,0,0,-1282207890,0,0
photo,1,user,0,null,0,0,0,0,1282208168305,1282208168,0,0,-1282208168,0,0
photo,1,user,0,null,0,0,0,0,1282208189996,1282208189,0,0,-1282208189,0,0
photo,1,user,0,null,0,0,0,0,1282208206344,1282208206,0,0,-1282208206,0,0
newImages,4,sys,0,null,1282208301163,0,1282208313381,12,0,-1282208313,0,0,0,-1282208301,0
photo,1,user,0,null,0,0,0,0,1282208347345,1282208347,0,0,-1282208347,0,0
newImages,4,sys,0,null,1282208360718,0,0,-1282208360,0,0,0,0,0,-1282208360,0
newImages,4,sys,0,null,1282208480809,0,0,-1282208480,0,0,0,0,0,-1282208480,0
newImages,4,sys,0,null,1282208535835,0,1282208552856,17,0,-1282208552,0,0,0,-1282208535,0
newImages,4,sys,0,null,1282208592947,0,0,-1282208592,0,0,0,0,0,-1282208592,0
photo opportunity,1,sys,55,null,1282208616943,0,1282208803991,187,1282208820122,16,0,1282208832444,12,215,4
newImages,4,sys,0,null,1282208789305,0,0,-1282208789,0,0,0,0,0,-1282208789,0
newImages,4,sys,0,null,1282208835150,0,0,-1282208835,0,0,0,0,0,-1282208835,0
newImages,4,sys,0,null,1282208837790,0,0,-1282208837,0,0,0,0,0,-1282208837,0
newImages,4,sys,0,null,1282208857026,0,1282208860061,3,0,-1282208860,0,0,0,-1282208857,0
photo,1,user,0,null,0,0,0,0,1282208876661,1282208876,0,0,-1282208876,0,0
newImages,4,sys,0,null,1282208956548,0,0,-1282208956,0,0,0,0,0,-1282208956,0
photo opportunity,1,sys,1,null,1282208957390,0,1282209049780,92,1282209055245,5,0,1282209072018,16,114,5
Q-Zone,2,sys,3,null,1282208995510,3,1282209088141,92,1282209090345,2,0,1282209204211,113,208,4
newImages,4,sys,0,null,1282209016668,0,1282209040502,23,0,-1282209040,0,0,0,-1282209016,0
end of ride,1,sys,40,null,1282209504415,0,1282209536720,32,1282209538574,1,0,1282209556006,17,51,5
photo,1,user,0,null,0,0,0,0,1282209504631,1282209504,0,0,-1282209504,0,0
newImages,4,sys,0,null,1282209614857,0,1282209620428,5,0,-1282209620,0,0,0,-1282209614,0
annotate,2,user,0,null,0,0,0,0,1282209635924,1282209635,0,0,-1282209635,0,0
photo,1,user,0,null,0,0,0,0,1282209640782,1282209640,0,0,-1282209640,0,0
newImages,4,sys,0,null,1282209673258,0,1282209679996,6,0,-1282209679,0,0,0,-1282209673,0
photo opportunity,1,sys,47,null,1282209825362,0,1282209982229,156,1282210011172,28,0,1282210021379,10,196,2
newImages,4,sys,0,null,1282209924999,0,1282209935762,10,0,-1282209935,0,0,0,-1282209924,0
photo,1,user,0,null,0,0,0,0,1282209958463,1282209958,0,0,-1282209958,0,0
newImages,4,sys,0,null,1282209971759,0,1282210035238,63,0,-1282210035,0,0,0,-1282209971,0
newImages,4,sys,0,null,1282210042489,0,0,-1282210042,0,0,0,0,0,-1282210042,0
newImages,4,sys,0,null,1282210100306,0,0,-1282210100,0,0,0,0,0,-1282210100,0
newImages,4,sys,0,null,1282210156984,0,1282210267400,110,0,-1282210267,0,0,0,-1282210156,0
photo,1,user,0,null,0,0,0,0,1282210415968,1282210415,0,0,-1282210415,0,0
photo,1,user,0,null,0,0,0,0,1282210435137,1282210435,0,0,-1282210435,0,0
photo,1,user,0,null,0,0,0,0,1282210467507,1282210467,0,0,-1282210467,0,0
photo opportunity,1,sys,10,null,1282210540926,0,1282210556496,15,1282210564207,7,0,1282210578194,13,37,4
newImages,4,sys,0,null,1282210577410,0,0,-1282210577,0,0,0,0,0,-1282210577,0
newImages,4,sys,0,null,1282210580711,0,0,-1282210580,0,0,0,0,0,-1282210580,0
photo,1,user,0,null,0,0,0,0,1282210584848,1282210584,0,0,-1282210584,0,0
newImages,4,sys,0,null,1282210606311,0,1282210612280,5,0,-1282210612,0,0,0,-1282210606,0
newImages,4,sys,0,null,1282210653026,0,1282210721105,68,0,-1282210721,0,0,0,-1282210653,0
photo,1,user,0,null,0,0,0,0,1282210731528,1282210731,0,0,-1282210731,0,0
annotate,2,user,0,null,0,0,0,0,1282210736875,1282210736,0,1282210824174,87,1282210824,0
annotate,2,user,0,null,0,0,0,0,1282210868828,1282210868,0,0,-1282210868,0,0
annotate,2,user,0,null,0,0,0,0,1282210903243,1282210903,0,0,-1282210903,0,0
annotate,2,user,0,null,0,0,0,0,1282210935180,1282210935,0,0,-1282210935,0,0
annotate,2,user,0,null,0,0,0,0,1282210947008,1282210947,0,0,-1282210947,0,0
annotate,2,user,0,null,0,0,0,0,1282210966861,1282210966,0,0,-1282210966,0,0
annotate,2,user,0,null,0,0,0,0,1282210975009,1282210975,0,0,-1282210975,0,0
annotate,2,user,0,null,0,0,0,0,1282211071823,1282211071,0,0,-1282211071,0,0
annotate,2,user,0,null,0,0,0,0,1282211072702,1282211072,0,0,-1282211072,0,0
annotate,2,user,0,null,0,0,0,0,1282211117276,1282211117,0,1282211209743,92,1282211209,0
annotate,2,user,0,null,0,0,0,0,1282211216156,1282211216,0,1282211395013,178,1282211395,0
photo,1,user,0,null,0,0,0,0,1282211631056,1282211631,0,0,-1282211631,0,0
photo,1,user,0,null,0,0,0,0,1282212012282,1282212012,0,0,-1282212012,0,0
Q-Zone,2,sys,13,null,1282212014714,0,1282212019994,5,1282212024388,4,0,1282212085936,61,71,4
