taskType,taskId,init,gpsTagId,notificationType,notificationTs,reminderCount,notficationAcceptTs,acceptanceTime,taskAcceptTs,taskAcceptTime,taskComp,taskCompTs,taskCompTime,responseTime,receptRating 
photo,1,user,0,null,0,0,0,0,1282207506053,1282207506,0,0,-1282207506,0,0
photo,1,user,0,null,0,0,0,0,1282207563397,1282207563,0,0,-1282207563,0,0
annotate,2,user,0,null,0,0,0,0,1282207602540,1282207602,0,0,-1282207602,0,0
newImages,4,sys,0,null,1282207612032,0,0,-1282207612,0,0,0,0,0,-1282207612,0
newImages,4,sys,0,null,1282207650891,0,0,-1282207650,0,0,0,0,0,-1282207650,0
annotate,2,user,0,null,0,0,0,0,1282207663880,1282207663,0,0,-1282207663,0,0
annotate,2,user,0,null,0,0,0,0,1282207730981,1282207730,0,0,-1282207730,0,0
newImages,4,sys,0,null,1282207768440,0,1282207817920,49,0,-1282207817,0,0,0,-1282207768,0
newImages,4,sys,0,null,1282207826336,0,1282207838000,11,0,-1282207838,0,0,0,-1282207826,0
lunch/break,3,sys,49,null,1282208193319,0,1282208856419,663,0,-1282208856,0,0,0,-1282208193,0
photo,1,user,0,null,0,0,0,0,1282208215524,1282208215,0,0,-1282208215,0,0
newImages,4,sys,0,null,1282208250950,0,0,-1282208250,0,0,0,0,0,-1282208250,0
newImages,4,sys,0,null,1282208315958,0,0,-1282208315,0,0,0,0,0,-1282208315,0
newImages,4,sys,0,null,1282208428006,0,0,-1282208428,0,0,0,0,0,-1282208428,0
photo,1,user,0,null,0,0,0,0,1282208450573,1282208450,0,0,-1282208450,0,0
newImages,4,sys,0,null,1282208470720,0,0,-1282208470,0,0,0,0,0,-1282208470,0
newImages,4,sys,0,null,1282208488998,0,0,-1282208488,0,0,0,0,0,-1282208488,0
newImages,4,sys,0,null,1282208548312,0,0,-1282208548,0,0,0,0,0,-1282208548,0
newImages,4,sys,0,null,1282208607197,0,0,-1282208607,0,0,0,0,0,-1282208607,0
photo opportunity,1,sys,55,null,1282208657967,0,1282208864783,206,0,-1282208864,0,0,0,-1282208657,0
photo,1,user,0,null,0,0,0,0,1282208744166,1282208744,0,0,-1282208744,0,0
photo,1,user,0,null,0,0,0,0,1282208799946,1282208799,0,0,-1282208799,0,0
newImages,4,sys,0,null,1282208844569,0,0,-1282208844,0,0,0,0,0,-1282208844,0
newImages,4,sys,0,null,1282208912839,0,0,-1282208912,0,0,0,0,0,-1282208912,0
newImages,4,sys,0,null,1282208969162,0,0,-1282208969,0,0,0,0,0,-1282208969,0
photo opportunity,1,sys,1,null,1282208977931,0,0,-1282208977,0,0,0,0,0,-1282208977,0
newImages,4,sys,0,null,1282209028937,0,0,-1282209028,0,0,0,0,0,-1282209028,0
Q-Zone,2,sys,3,null,1282209033907,64,1282210990020,1956,1282210992215,2,0,0,-1282210992,-1282209033,0
newImages,4,sys,0,null,1282209148214,0,0,-1282209148,0,0,0,0,0,-1282209148,0
newImages,4,sys,0,null,1282209267035,0,0,-1282209267,0,0,0,0,0,-1282209267,0
end of ride,1,sys,40,null,1282209513940,0,0,-1282209513,0,0,0,0,0,-1282209513,0
newImages,4,sys,0,null,1282209567400,0,1282209610642,43,0,-1282209610,0,0,0,-1282209567,0
newImages,4,sys,0,null,1282209633126,0,0,-1282209633,0,0,0,0,0,-1282209633,0
newImages,4,sys,0,null,1282209687727,0,0,-1282209687,0,0,0,0,0,-1282209687,0
photo opportunity,1,sys,47,null,1282209838943,0,1282210010563,171,0,-1282210010,0,0,0,-1282209838,0
photo,1,user,0,null,0,0,0,0,1282209856722,1282209856,0,0,-1282209856,0,0
newImages,4,sys,0,null,1282209912224,0,0,-1282209912,0,0,0,0,0,-1282209912,0
newImages,4,sys,0,null,1282209926364,0,0,-1282209926,0,0,0,0,0,-1282209926,0
photo,1,user,0,null,0,0,0,0,1282209975216,1282209975,0,0,-1282209975,0,0
newImages,4,sys,0,null,1282209987318,0,0,-1282209987,0,0,0,0,0,-1282209987,0
newImages,4,sys,0,null,1282210008716,0,0,-1282210008,0,0,0,0,0,-1282210008,0
newImages,4,sys,0,null,1282210055067,0,0,-1282210055,0,0,0,0,0,-1282210055,0
newImages,4,sys,0,null,1282210109946,0,0,-1282210109,0,0,0,0,0,-1282210109,0
