taskType,taskId,init,gpsTagId,notificationType,notificationTs,reminderCount,notficationAcceptTs,acceptanceTime,taskAcceptTs,taskAcceptTime,taskComp,taskCompTs,taskCompTime,responseTime,receptRating 
photo opportunity,1,sys,15,null,1281437623061,0,1281437629085,6,0,-1281437629,0,0,0,-1281437623,0
newImages,4,sys,0,null,1281437640118,0,0,-1281437640,0,0,0,0,0,-1281437640,0
newImages,4,sys,0,null,1281437749257,0,1281437830354,81,0,-1281437830,0,0,0,-1281437749,0
newImages,4,sys,0,null,1281438026586,0,1281438319437,292,0,-1281438319,0,0,0,-1281438026,0
photo,1,user,0,null,0,0,0,0,1281439093075,1281439093,0,0,-1281439093,0,0
newImages,4,sys,0,null,1281439099350,0,1281439102736,3,0,-1281439102,0,0,0,-1281439099,0
newImages,4,sys,0,null,1281439218852,0,0,-1281439218,0,0,0,0,0,-1281439218,0
newImages,4,sys,0,null,1281439278757,0,0,-1281439278,0,0,0,0,0,-1281439278,0
newImages,4,sys,0,null,1281439337789,0,0,-1281439337,0,0,0,0,0,-1281439337,0
newImages,4,sys,0,null,1281439398332,0,0,-1281439398,0,0,0,0,0,-1281439398,0
newImages,4,sys,0,null,1281439520418,0,0,-1281439520,0,0,0,0,0,-1281439520,0
newImages,4,sys,0,null,1281439583251,0,0,-1281439583,0,0,0,0,0,-1281439583,0
newImages,4,sys,0,null,1281439758437,0,0,-1281439758,0,0,0,0,0,-1281439758,0
photo opportunity,1,sys,14,null,1281439780293,0,0,-1281439780,0,0,0,0,0,-1281439780,0
photo opportunity,1,sys,59,null,1281439962283,0,1281442685717,2723,0,-1281442685,0,0,0,-1281439962,0
newImages,4,sys,0,null,1281440060897,0,0,-1281440060,0,0,0,0,0,-1281440060,0
newImages,4,sys,0,null,1281440129928,0,1281440145373,15,0,-1281440145,0,0,0,-1281440129,0
newImages,4,sys,0,null,1281440178974,0,0,-1281440178,0,0,0,0,0,-1281440178,0
newImages,4,sys,0,null,1281440241888,0,0,-1281440241,0,0,0,0,0,-1281440241,0
Q-Zone,2,sys,22,null,1281440444753,3,1281440536408,91,0,-1281440536,0,0,0,-1281440444,0
lunch/break,3,sys,19,null,1281442136902,0,1281442682238,545,0,-1281442682,0,0,0,-1281442136,0
newImages,4,sys,0,null,1281442642918,0,1281442659063,16,0,-1281442659,0,0,0,-1281442642,0
lunch/break,3,sys,49,null,1281444328817,0,1281444408238,79,0,-1281444408,0,0,0,-1281444328,0
newImages,4,sys,0,null,1281446124187,0,0,-1281446124,0,0,0,0,0,-1281446124,0
newImages,4,sys,0,null,1281446244329,0,0,-1281446244,0,0,0,0,0,-1281446244,0
newImages,4,sys,0,null,1281446299731,0,0,-1281446299,0,0,0,0,0,-1281446299,0
newImages,4,sys,0,null,1281446366624,0,1281446418957,52,0,-1281446418,0,0,0,-1281446366,0
newImages,4,sys,0,null,1281446607790,0,1281446618828,11,0,-1281446618,0,0,0,-1281446607,0
newImages,4,sys,0,null,1281446783619,0,0,-1281446783,0,0,0,0,0,-1281446783,0
newImages,4,sys,0,null,1281447087482,0,1281447282211,194,0,-1281447282,0,0,0,-1281447087,0
photo_story,3,user,0,null,0,0,0,0,1281447463208,1281447463,0,0,-1281447463,0,0
newImages,4,sys,0,null,1281447803280,0,1281447813258,9,0,-1281447813,0,0,0,-1281447803,0
lunch/break,3,sys,49,null,1281447930017,0,0,-1281447930,0,0,0,0,0,-1281447930,0
photo opportunity,1,sys,55,null,1281449103624,0,1281449111842,8,0,-1281449111,0,0,0,-1281449103,0
newImages,4,sys,0,null,1281449136800,0,1281449143056,6,0,-1281449143,0,0,0,-1281449136,0
newImages,4,sys,0,null,1281449557207,0,0,-1281449557,0,0,0,0,0,-1281449557,0
newImages,4,sys,0,null,1281449740969,0,0,-1281449740,0,0,0,0,0,-1281449740,0
newImages,4,sys,0,null,1281449856071,0,0,-1281449856,0,0,0,0,0,-1281449856,0
newImages,4,sys,0,null,1281449919595,0,0,-1281449919,0,0,0,0,0,-1281449919,0
Q-Zone,2,sys,56,null,1281450073674,3,1281450187997,114,0,-1281450187,0,0,0,-1281450073,0
newImages,4,sys,0,null,1281450096251,0,0,-1281450096,0,0,0,0,0,-1281450096,0
newImages,4,sys,0,null,1281450158491,0,1281450219165,60,0,-1281450219,0,0,0,-1281450158,0
newImages,4,sys,0,null,1281450335734,0,1281450343481,7,0,-1281450343,0,0,0,-1281450335,0
newImages,4,sys,0,null,1281450397002,0,0,-1281450397,0,0,0,0,0,-1281450397,0
newImages,4,sys,0,null,1281450455789,0,0,-1281450455,0,0,0,0,0,-1281450455,0
newImages,4,sys,0,null,1281450516625,0,0,-1281450516,0,0,0,0,0,-1281450516,0
newImages,4,sys,0,null,1281450576699,0,1281450589021,12,0,-1281450589,0,0,0,-1281450576,0
