taskType,taskId,init,gpsTagId,notificationType,notificationTs,reminderCount,notficationAcceptTs,acceptanceTime,taskAcceptTs,taskAcceptTime,taskComp,taskCompTs,taskCompTime,responseTime,receptRating 
photo,1,user,0,null,,,,,1282207565725,,,,,,0
annotate,2,user,0,null,,,,,1282207602174,,,,,,0
newImages,4,sys,0,null,1282207605472,,,,,,,,,,0
newImages,4,sys,0,null,1282207662607,,,,,,,,,,0
annotate,2,user,0,null,,,,,1282207674007,,,,,,0
annotate,2,user,0,null,,,,,1282207706560,,,1282207736458,29,,0
photo_story,3,user,0,null,,,,,1282207741696,,,,,,0
annotate,2,user,0,null,,,,,1282207771456,,,,,,0
newImages,4,sys,0,null,1282207777955,,1282207809731,31,,,,,,,0
newImages,4,sys,0,null,1282207838075,,,,,,,,,,0
annotate,2,user,0,null,,,,,1282207842345,,,,,,0
annotate,2,user,0,null,,,,,1282207866687,,,,,,0
photo,1,user,0,null,,,,,1282208216198,,,,,,0
photo,1,user,0,null,,,,,1282208247767,,,,,,0
newImages,4,sys,0,null,1282208250571,,,,,,,,,,0
newImages,4,sys,0,null,1282208256584,,,,,,,,,,0
newImages,4,sys,0,null,1282208263781,,,,,,,,,,0
photo,1,user,0,null,,,,,1282208369387,,,,,,0
newImages,4,sys,0,null,1282208380825,,,,,,,,,,0
newImages,4,sys,0,null,1282208430319,,,,,,,,,,0
photo,1,user,0,null,,,,,1282208434132,,,,,,0
newImages,4,sys,0,null,1282208502931,,,,,,,,,,0
annotate,2,user,0,null,,,,,1282208503394,,,,,,0
annotate,2,user,0,null,,,,,1282208503880,,,1282208591766,87,,0
photo opportunity,1,sys,55,null,1282208656519,,1282208778468,121,1282208780065,1,,1282208796220,16,139,2
newImages,4,sys,0,null,1282208800632,,,,,,,,,,0
newImages,4,sys,0,null,1282208800933,,1282208847948,47,,,,,,,0
newImages,4,sys,0,null,1282208859351,,,,,,,,,,0
newImages,4,sys,0,null,1282208871166,,1282208874730,3,,,,,,,0
annotate,2,user,0,null,,,,,1282208892498,,,,,,0
photo,1,user,0,null,,,,,1282208904232,,,,,,0
photo opportunity,1,sys,47,null,1282208954093,,1282208961310,7,1282208972665,,,1282209004864,32,50,5
photo opportunity,1,sys,1,null,1282208978207,,1282209047580,69,,,,,,,0
Q-Zone,2,sys,3,null,1282209036122,1,1282209072049,35,,,,,,,0
newImages,4,sys,0,null,1282209108817,,1282209119823,11,,,,,,,0
newImages,4,sys,0,null,1282209278067,,,,,,,,,,0
end of ride,1,sys,40,null,1282209513254,,1282209524153,10,1282209528423,4,,1282209565708,37,52,4
newImages,4,sys,0,null,1282209570734,,,,,,,,,,0
newImages,4,sys,0,null,1282209583312,,,,,,,,,,0
newImages,4,sys,0,null,1282209639309,,1282209665048,25,,,,,,,0
annotate,2,user,0,null,,,,,1282209677446,,,,,,0
newImages,4,sys,0,null,1282209698858,,1282209769560,70,,,,,,,0
annotate,2,user,0,null,,,,,1282209729822,,,,,,0
annotate,2,user,0,null,,,,,1282209730534,,,,,,0
photo,1,user,0,null,,,,,1282209816650,,,,,,0
newImages,4,sys,0,null,1282209897146,,1282209930701,33,,,,,,,0
newImages,4,sys,0,null,1282209943626,,1282209951416,7,,,,,,,0
photo,1,user,0,null,,,,,1282209994933,,,,,,0
newImages,4,sys,0,null,1282209999386,,,,,,,,,,0
newImages,4,sys,0,null,1282210018557,,1282210024698,6,,,,,,,0
newImages,4,sys,0,null,1282210069307,,1282210077761,8,,,,,,,0
newImages,4,sys,0,null,1282210119712,,1282210126494,6,,,,,,,0
newImages,4,sys,0,null,1282210179486,,1282210188356,8,,,,,,,0
newImages,4,sys,0,null,1282210484810,,,,,,,,,,0
newImages,4,sys,0,null,1282210539303,,1282210547571,8,,,,,,,0
photo opportunity,1,sys,10,null,1282210563582,,1282210578261,14,1282210605618,27,,1282210617425,11,53,4
newImages,4,sys,0,null,1282210607234,,,,,,,,,,0
newImages,4,sys,0,null,1282210625924,,1282210628711,2,,,,,,,0
newImages,4,sys,0,null,1282210667061,,1282210728926,61,,,,,,,0
annotate,2,user,0,null,,,,,1282210751460,,,1282210831261,79,,0
annotate,2,user,0,null,,,,,1282210833925,,,,,,0
annotate,2,user,0,null,,,,,1282210877055,,,,,,0
annotate,2,user,0,null,,,,,1282210910607,,,1282210984305,73,,0
annotate,2,user,0,null,,,,,1282210987704,,,,,,0
photo,1,user,0,null,,,,,1282211000675,,,,,,0
annotate,2,user,0,null,,,,,1282211003941,,,,,,0
annotate,2,user,0,null,,,,,1282211058994,,,,,,0
annotate,2,user,0,null,,,,,1282211084979,,,1282211180741,95,,0
annotate,2,user,0,null,,,,,1282211189304,,,,,,0
photo,1,user,0,null,,,,,1282211231085,,,,,,0
annotate,2,user,0,null,,,,,1282211234204,,,,,,0
annotate,2,user,0,null,,,,,1282211259668,,,,,,0
annotate,2,user,0,null,,,,,1282211284304,,,,,,0
annotate,2,user,0,null,,,,,1282211284653,,,,,,0
annotate,2,user,0,null,,,,,1282211305514,,,,,,0
annotate,2,user,0,null,,,,,1282211306161,,,,,,0
photo_story,3,user,0,null,,,,,1282211364778,,,,,,0
photo,1,user,0,null,,,,,1282211373543,,,,,,0
annotate,2,user,0,null,,,,,1282211409803,,,,,,0
newImages,4,sys,0,null,1282211413363,,,,,,,,,,0
annotate,2,user,0,null,,,,,1282211430526,,,1282211474508,43,,0
annotate,2,user,0,null,,,,,1282211478018,,,,,,0
newImages,4,sys,0,null,1282211484183,,1282211521183,37,,,,,,,0
annotate,2,user,0,null,,,,,1282211494486,,,,,,0
annotate,2,user,0,null,,,,,1282211554215,,,1282211629757,75,,0
annotate,2,user,0,null,,,,,1282211637837,,,,,,0
annotate,2,user,0,null,,,,,1282211654053,,,,,,0
annotate,2,user,0,null,,,,,1282211654215,,,1282211717360,63,,0
annotate,2,user,0,null,,,,,1282212036688,,,,,,0
annotate,2,user,0,null,,,,,1282213440410,,,1282213641528,201,,0
photo,1,user,0,null,,,,,1282213459030,,,,,,0
annotate,2,user,0,null,,,,,1282213688958,,,,,,0
photo,1,user,0,null,,,,,1282213717833,,,,,,0
annotate,2,user,0,null,,,,,1282213750339,,,,,,0
annotate,2,user,0,null,,,,,1282213751197,,,1282213878845,127,,0
annotate,2,user,0,null,,,,,1282213885194,,,,,,0
photo,1,user,0,null,,,,,1282213900948,,,,,,0
annotate,2,user,0,null,,,,,1282213932690,,,1282214036579,103,,0
photo,1,user,0,null,,,,,1282215780127,,,,,,0
photo,1,user,0,null,,,,,1282215802993,,,,,,0
newImages,4,sys,0,null,1282215832787,,1282215841144,8,,,,,,,0
newImages,4,sys,0,null,1282215848579,,1282215930354,81,,,,,,,0
annotate,2,user,0,null,,,,,1282216171237,,,,,,0
annotate,2,user,0,null,,,,,1282216208135,,,,,,0
annotate,2,user,0,null,,,,,1282216255540,,,,,,0
annotate,2,user,0,null,,,,,1282216271897,,,,,,0
annotate,2,user,0,null,,,,,1282216272207,,,,,,0
photo,1,user,0,null,,,,,1282216278519,,,,,,0
photo,1,user,0,null,,,,,1282216290954,,,,,,0
newImages,4,sys,0,null,1282216338241,,1282216341672,3,,,,,,,0
newImages,4,sys,0,null,1282216345274,,1282216444335,99,,,,,,,0
annotate,2,user,0,null,,,,,1282216405734,,,,,,0
photo,1,user,0,null,,,,,1282216640481,,,,,,0
photo,1,user,0,null,,,,,1282216659546,,,,,,0
newImages,4,sys,0,null,1282216676434,,,,,,,,,,0
newImages,4,sys,0,null,1282216684061,,,,,,,,,,0
photo,1,user,0,null,,,,,1282216690760,,,,,,0
photo,1,user,0,null,,,,,1282216706856,,,,,,0
newImages,4,sys,0,null,1282216712001,,,,,,,,,,0
newImages,4,sys,0,null,1282216734277,,1282217171174,436,,,,,,,0
annotate,2,user,0,null,,,,,1282217202644,,,1282217255258,52,,0
newImages,4,sys,0,null,1282217277074,,1282217280475,3,,,,,,,0
annotate,2,user,0,null,,,,,1282217312104,,,,,,0
photo,1,user,0,null,,,,,1282217527084,,,,,,0
newImages,4,sys,0,null,1282217550306,,1282217553027,2,,,,,,,0
photo,1,user,0,null,,,,,1282217557046,,,,,,0
photo,1,user,0,null,,,,,1282217572393,,,,,,0
newImages,4,sys,0,null,1282217577501,,,,,,,,,,0
newImages,4,sys,0,null,1282217610158,,1282217614148,3,,,,,,,0
photo,1,user,0,null,,,,,1282217619961,,,,,,0
photo,1,user,0,null,,,,,1282217655775,,,,,,0
newImages,4,sys,0,null,1282217665212,,,,,,,,,,0
newImages,4,sys,0,null,1282217733388,,1282217742764,9,,,,,,,0
photo,1,user,0,null,,,,,1282218234802,,,,,,0
newImages,4,sys,0,null,1282218470942,,1282218474707,3,,,,,,,0
photo,1,user,0,null,,,,,1282218675296,,,,,,0
newImages,4,sys,0,null,1282218714288,,1282218718774,4,,,,,,,0
annotate,2,user,0,null,,,,,1282218729505,,,,,,0
photo,1,user,0,null,,,,,1282220165901,,,,,,0
annotate,2,user,0,null,,,,,1282220170278,,,,,,0
photo,1,user,0,null,,,,,1282220271967,,,,,,0
annotate,2,user,0,null,,,,,1282220277464,,,,,,0
annotate,2,user,0,null,,,,,1282220326290,,,,,,0
annotate,2,user,0,null,,,,,1282220336417,,,,,,0
annotate,2,user,0,null,,,,,1282220376684,,,,,,0
newImages,4,sys,0,null,1282220391480,,1282220396278,4,,,,,,,0
annotate,2,user,0,null,,,,,1282220428487,,,1282220457877,29,,0
annotate,2,user,0,null,,,,,1282220481517,,,,,,0
photo_story,3,user,0,null,,,,,1282220514403,,,,,,0
annotate,2,user,0,null,,,,,1282220557647,,,,,,0
annotate,2,user,0,null,,,,,1282220571216,,,,,,0
photo_story,3,user,0,null,,,,,1282220597952,,,,,,0
newImages,4,sys,0,null,1282220616077,,,,,,,,,,0
annotate,2,user,0,null,,,,,1282220641561,,,,,,0
annotate,2,user,0,null,,,,,1282220657133,,,,,,0
newImages,4,sys,0,null,1282220673821,,1282220687992,14,,,,,,,0
photo_story,3,user,0,null,,,,,1282220695433,,,,,,0
photo_story,3,user,0,null,,,,,1282220716613,,,,,,0
annotate,2,user,0,null,,,,,1282220757058,,,,,,0
annotate,2,user,0,null,,,,,1282220773946,,,1282220791486,17,,0
photo_story,3,user,0,null,,,,,1282220793504,,,,,,0
Q-Zone,2,sys,56,null,1282221152201,2,1282221219368,67,1282221227079,7,,,,,0
newImages,4,sys,0,null,1282221157602,,1282221279662,122,,,,,,,0
photo,1,user,0,null,,,,,1282221293924,,,,,,0
photo,1,user,0,null,,,,,1282221322988,,,,,,0
annotate,2,user,0,null,,,,,1282221326907,,,1282221335592,8,,0
newImages,4,sys,0,null,1282221332903,,,,,,,,,,0
annotate,2,user,0,null,,,,,1282221337352,,,1282221384234,46,,0
newImages,4,sys,0,null,1282221347081,,,,,,,,,,0
newImages,4,sys,0,null,1282221388661,,1282221397999,9,,,,,,,0
annotate,2,user,0,null,,,,,1282221428006,,,,,,0
photo,1,user,0,null,,,,,1282221439047,,,,,,0
photo,1,user,0,null,,,,,1282221515371,,,,,,0
newImages,4,sys,0,null,1282221530150,,,,,,,,,,0
photo,1,user,0,null,,,,,1282221542177,,,,,,0
newImages,4,sys,0,null,1282221548657,,,,,,,,,,0
photo,1,user,0,null,,,,,1282221567325,,,,,,0
newImages,4,sys,0,null,1282221578442,,1282221615853,37,,,,,,,0
newImages,4,sys,0,null,1282221634137,,1282221663410,29,,,,,,,0
photo,1,user,0,null,,,,,1282221729075,,,,,,0
photo,1,user,0,null,,,,,1282221741550,,,,,,0
newImages,4,sys,0,null,1282221759476,,1282221763710,4,,,,,,,0
newImages,4,sys,0,null,1282221769482,,1282221773001,3,,,,,,,0
photo,1,user,0,null,,,,,1282222212319,,,,,,0
newImages,4,sys,0,null,1282222241120,,1282222243712,2,,,,,,,0
photo,1,user,0,null,,,,,1282223225453,,,,,,0
photo,1,user,0,null,,,,,1282223250497,,,,,,0
newImages,4,sys,0,null,1282223271836,,1282223274876,3,,,,,,,0
newImages,4,sys,0,null,1282223277753,,1282223285887,8,,,,,,,0
annotate,2,user,0,null,,,,,1282223326795,,,1282223354158,27,,0
newImages,4,sys,0,null,1282223361405,,1282223518044,156,,,,,,,0
photo_story,3,user,0,null,,,,,1282223496179,,,,,,0
photo,1,user,0,null,,,,,1282223525734,,,,,,0
photo_story,3,user,0,null,,,,,1282223528316,,,,,,0
annotate,2,user,0,null,,,,,1282223566543,,,,,,0
photo,1,user,0,null,,,,,1282223611968,,,,,,0
annotate,2,user,0,null,,,,,1282223619969,,,,,,0
photo,1,user,0,null,,,,,1282223731410,,,,,,0
annotate,2,user,0,null,,,,,1282223734288,,,1282223824176,89,,0
newImages,4,sys,0,null,1282223836149,,,,,,,,,,0
annotate,2,user,0,null,,,,,1282223838572,,,,,,0
annotate,2,user,0,null,,,,,1282223852331,,,,,,0
annotate,2,user,0,null,,,,,1282223875921,,,1282223956878,80,,0
photo_story,3,user,0,null,,,,,1282223960138,,,,,,0
newImages,4,sys,0,null,1282223965973,,1282224014013,48,,,,,,,0
photo_story,3,user,0,null,,,,,1282226273109,,,,,,0
photo_story,3,user,0,null,,,,,1282226414474,,,,,,0
photo,1,user,0,null,,,,,1282226441752,,,,,,0
annotate,2,user,0,null,,,,,1282226443934,,,1282226469904,25,,0
annotate,2,user,0,null,,,,,1282226471290,,,,,,0
photo,1,user,0,null,,,,,1282226474822,,,,,,0
annotate,2,user,0,null,,,,,1282226479084,,,,,,0
photo_story,3,user,0,null,,,,,1282226490625,,,,,,0
newImages,4,sys,0,null,1282226500312,,1282226536745,36,,,,,,,0
newImages,4,sys,0,null,1282226892394,,1282226895391,2,,,,,,,0
annotate,2,user,0,null,,,,,1282226905593,,,,,,0
annotate,2,user,0,null,,,,,1282226932889,,,,,,0
annotate,2,user,0,null,,,,,1282226955685,,,,,,0
annotate,2,user,0,null,,,,,1282226986298,,,,,,0
annotate,2,user,0,null,,,,,1282227002841,,,,,,0
annotate,2,user,0,null,,,,,1282227019089,,,,,,0
lunch/break,3,sys,49,null,1282229605023,,,,,,,,,,0
