taskType,taskId,init,gpsTagId,notificationType,notificationTs,reminderCount,notficationAcceptTs,acceptanceTime,taskAcceptTs,taskAcceptTime,taskComp,taskCompTs,taskCompTime,responseTime,receptRating 
photo,1,user,0,null,0,0,0,0,1281436163981,1281436163,0,0,-1281436163,0,0
annotate,2,user,0,null,0,0,0,0,1281436245969,1281436245,0,1281436387407,141,1281436387,0
photo_story,3,user,0,null,0,0,0,0,1281436283821,1281436283,0,0,-1281436283,0,0
newImages,4,sys,0,null,1281436393429,0,1281436468929,75,0,-1281436468,0,0,0,-1281436393,0
photo_story,3,user,0,null,0,0,0,0,1281436428902,1281436428,0,0,-1281436428,0,0
newImages,4,sys,0,null,1281436563971,0,0,-1281436563,0,0,0,0,0,-1281436563,0
photo opportunity,1,sys,14,null,1281437282259,0,1281437313912,31,1281437320805,6,0,0,-1281437320,-1281437282,0
photo opportunity,1,sys,15,null,1281437378212,0,1281437456043,77,1281437458300,2,0,0,-1281437458,-1281437378,0
newImages,4,sys,0,null,1281437465293,0,1281437498134,32,0,-1281437498,0,0,0,-1281437465,0
newImages,4,sys,0,null,1281437524059,0,0,-1281437524,0,0,0,0,0,-1281437524,0
photo_story,3,user,0,null,0,0,0,0,1281437602020,1281437602,0,0,-1281437602,0,0
newImages,4,sys,0,null,1281437649171,0,0,-1281437649,0,0,0,0,0,-1281437649,0
newImages,4,sys,0,null,1281437704153,0,0,-1281437704,0,0,0,0,0,-1281437704,0
newImages,4,sys,0,null,1281438003837,0,0,-1281438003,0,0,0,0,0,-1281438003,0
photo,1,user,0,null,0,0,0,0,1281438328126,1281438328,0,0,-1281438328,0,0
newImages,4,sys,0,null,1281439023856,0,0,-1281439023,0,0,0,0,0,-1281439023,0
photo,1,user,0,null,0,0,0,0,1281439177697,1281439177,0,0,-1281439177,0,0
photo_story,3,user,0,null,0,0,0,0,1281439216686,1281439216,0,0,-1281439216,0,0
photo_story,3,user,0,null,0,0,0,0,1281439236960,1281439236,0,0,-1281439236,0,0
photo_story,3,user,0,null,0,0,0,0,1281439254539,1281439254,0,0,-1281439254,0,0
newImages,4,sys,0,null,1281439273177,0,0,-1281439273,0,0,0,0,0,-1281439273,0
photo,1,user,0,null,0,0,0,0,1281439376314,1281439376,0,0,-1281439376,0,0
newImages,4,sys,0,null,1281439383066,0,0,-1281439383,0,0,0,0,0,-1281439383,0
annotate,2,user,0,null,0,0,0,0,1281439460058,1281439460,0,1281439522970,62,1281439522,0
newImages,4,sys,0,null,1281439504653,0,0,-1281439504,0,0,0,0,0,-1281439504,0
